Season 2 Ranking Wins

61位 : しろまる (19勝0敗, 勝率100.00%)
62位 : エル (19勝0敗, 勝率100.00%)
63位 : ワテでし (19勝0敗, 勝率100.00%)
64位 : haruなのです！ (17勝0敗, 勝率100.00%)
65位 : ゆきみだいふく (15勝0敗, 勝率100.00%)
66位 : 防火壁 (14勝0敗, 勝率100.00%)
67位 : しーすぱろー☭祝杯の聖女超極愛☭ (13勝0敗, 勝率100.00%)
68位 : ぬの人 (13勝0敗, 勝率100.00%)
69位 : 56ネコ (12勝0敗, 勝率100.00%)
70位 : shumai (11勝0敗, 勝率100.00%)
71位 : 葉洞 (10勝0敗, 勝率100.00%)
72位 : K.I. (10勝0敗, 勝率100.00%)
73位 : Salmon_P_0517 (9勝1敗, 勝率90.00%)
74位 : ぬるぱ (8勝0敗, 勝率100.00%)
75位 : reakyo_kun (7勝0敗, 勝率100.00%)
76位 : Gumi-ttan (7勝0敗, 勝率100.00%)
77位 : clnoss (7勝0敗, 勝率100.00%)
78位 : Mr.croqutter (6勝0敗, 勝率100.00%)
79位 : ARM交易会社最高責任者兼CEO アルマゲドン (4勝0敗, 勝率100.00%)
80位 : ドレミー (4勝0敗, 勝率100.00%)
81位 : のすけ (3勝0敗, 勝率100.00%)
82位 : Sio (2勝0敗, 勝率100.00%)
83位 : 輪ゴム (2勝0敗, 勝率100.00%)
84位 : sugas (2勝0敗, 勝率100.00%)
85位 : ATM (1勝0敗, 勝率100.00%)
86位 : つぶあん派 (1勝0敗, 勝率100.00%)
87位 : しうん (1勝0敗, 勝率100.00%)
88位 : こんにゃく (1勝0敗, 勝率100.00%)
89位 : ぺこり (1勝0敗, 勝率100.00%)
90位 : ぴうりん。 (1勝0敗, 勝率100.00%)
91位 : yzyt (1勝0敗, 勝率100.00%)
92位 : きょねざい (1勝0敗, 勝率100.00%)
93位 : パルル (1勝0敗, 勝率100.00%) [Loser]


-----------------------------------------------------------


Season 2 Ranking LosesAll

1位 : ケイスケホンダ (291398敗2029勝, 勝率0.69%) [Loser]
2位 : ノロ (276敗38315勝, 勝率99.28%) [Loser]
3位 : ふらしゅこ (250敗35549勝, 勝率99.30%)
4位 : 7 (234敗33415勝, 勝率99.30%)
5位 : ロッティロール (184敗27125勝, 勝率99.33%)
